,cavsCost,noncavsCost,totCost,cavsFlow,nonCavsFlow,pedestrianFlow,rebalancingFlow,bikeFlow,subwayFlow
0,74.70686678270117,116.64788500915391,116.22847482688937,61349.50326590816,6928896.605468872,2.596660862040183e-07,24383.98450266711,5948.592396905475,0
1,74.24040892182917,98.45071023726506,96.02968010572145,613486.6659865204,6267376.243663328,2.4334228231470824e-07,200617.45623233277,62155.725859016995,0
2,73.26064863884486,81.78870600748684,80.08309453375844,1216865.764861762,5567138.670619599,1.8417399648983495e-07,336079.8330291871,129495.15681987125,0
3,71.5614784962468,70.11212843923283,70.54693345633703,1813689.0234909123,4852447.826643098,5.759070945660237e-07,446053.12062969775,202587.92130962588,0
4,69.697371169631,62.045711553718704,65.10637540008362,2439973.1204871717,4123696.6520490497,4.294453025105313e-07,547155.5532262758,269487.36073326383,0
5,67.86057212740329,55.36489330287862,61.61273271514096,3041233.1650976585,3401210.4272511653,2.484459925171432e-07,650981.8108251974,342833.1540491849,0
6,66.15118471059756,51.326279697329724,60.221222705290415,3649609.5056542144,2689350.967509856,1.376666375063045e-06,792597.557665811,403063.299741981,0
7,64.8045707945254,47.518425130086904,59.61872709519385,4250207.066693588,1993950.222591533,3.2210017404573793e-07,916983.7031278576,473425.0253042561,0
8,63.62954263031786,44.89499675493118,59.882633455240516,4845094.52517971,1305057.968030723,1.913564412342388e-07,1020791.914585334,543610.9425695915,0
9,62.7080319688287,41.64736080379811,60.60196485232563,5423995.662713427,644855.2906318092,1.7974985133931818e-06,1119698.0027811185,617419.2615075142,0
10,61.793381925292564,39.22353644894877,61.56768347052911,5938075.919281181,64666.48375992291,4.1683403907506464e-08,1208560.387344164,675505.1708719748,0
