,cavsCost,noncavsCost,totCost,cavsFlow,nonCavsFlow,pedestrianFlow,rebalancingFlow,bikeFlow,subwayFlow
0,28.661649232142846,28.861922296398514,28.85991956575596,24855.531451055107,2465555.6025967975,3.0829948964035815e-07,7181.648232744502,6.695286550824037e-07,0
1,28.91789192825316,28.910314083601957,28.911071868067076,264394.07116993325,2228471.803270844,6.811423769603648e-07,73617.24811586321,12.850705860641774,0
2,28.89339763518927,28.847351664059417,28.85656085828539,530126.3384940454,1969405.9397273536,4.13656588389892e-07,151564.566864775,25.70140964825355,0
3,28.810522773321452,28.66403995884234,28.707984803186076,795058.5045110446,1716257.6378304302,6.808224818222985e-07,250202.95722988222,38.55211469646815,0
4,28.70317672900397,28.32599145291652,28.4768655633515,1058367.0292727745,1465016.9287471839,8.72230221653711e-07,366483.8885270351,580.8833980798247,0
5,28.57435196483283,28.00593234561884,28.290142155225837,1314354.783646066,1215918.9916351833,1.9802156021791714e-07,473953.1764435132,1277.2898169754765,0
6,28.46585739740514,27.601319855508464,28.12004238064647,1576121.4386875655,966512.2578188279,8.346297810420441e-07,560371.388830516,1754.7843159102138,0
7,28.298012335457436,27.19443603287761,27.96693944468349,1828811.3677067377,725729.3687831948,2.3308288812440096e-07,648344.6298982209,1767.6350189893587,0
8,28.163175433821532,26.79198662355201,27.88893767176763,2075401.787060033,483981.92600142804,7.25417460861854e-07,733067.9852203552,1780.4857244510579,0
9,27.98284957293446,26.571058842359328,27.841670499876944,2317408.430184447,242010.80552486246,2.1857418202877607e-07,828520.3670476669,1794.0958498958257,0
10,27.89442880759496,26.471453079567517,27.880199050314683,2534844.6394225764,24251.620842475524,1.0895083630041044e-06,920172.9423115022,2420.8616273254656,0
