,cavsCost,noncavsCost,totCost,cavsFlow,nonCavsFlow,pedestrianFlow,rebalancingFlow,bikeFlow,subwayFlow
0,32.70282722641375,33.63041882330097,33.62114290733209,34178.280532939476,3357991.729099408,1.2769348807112981e-06,10600.213849161786,185.62979108519485,0
1,32.93946820349799,32.991619708851445,32.986404558316096,355202.7903729916,3035692.541826758,1.0328474660641425e-06,115040.44548977398,1845.7236369891173,0
2,32.84969951742092,32.3720179307567,32.46755424808954,711676.5161937855,2688643.286546587,2.2208687126231698e-07,264731.96910750563,2653.563250673953,0
3,32.823896585877314,31.95716743778869,32.21718618221528,1070333.2800485564,2335545.293436148,2.507351735600838e-07,397762.4346773655,3581.672399908526,0
4,32.723687293811786,31.59233058989022,32.04487327145885,1428893.2187517802,1982088.8033322638,2.619667930349142e-07,507353.8692392739,4574.875815465198,0
5,32.64221413826223,31.409848778564346,32.02603145841329,1777260.9118130608,1637360.1731572358,8.920375581887038e-07,645714.9319822368,5941.218466829844,0
6,32.6631238489836,31.277423576733348,32.1088437400835,2121571.094370903,1300568.8945402147,7.853614758500442e-07,776584.184720642,7821.535380023054,0
7,32.71433113008632,31.08211942059139,32.22466761723784,2455096.76557495,970081.5515316506,4.4195827116693754e-07,859179.6020482841,9764.742577441359,0
8,32.65184278087658,30.499170691922167,32.22130836308569,2783018.5352142146,645882.7719614324,4.627274682958908e-07,970566.4832147667,11413.54681749052,0
9,32.676516700528936,30.642663727775382,32.47313140325358,3104784.2482630345,322860.1413611654,6.231260098977935e-07,1109757.7332815735,11603.602769421288,0
10,32.75611322745338,29.949028232836582,32.728042377507215,3385289.3432507613,32117.872211226808,7.873254395797986e-07,1223964.6470676886,18880.12312022385,0
